title	embed_code	views	likes	upload_date	summary
언니의 사랑을 목격한 동생	https://www.youtube.com/embed/_3pJcgWr69U	조회수 11,612,381회	123,369	2023-12-10	언니가 정 성폭 정이를 해 폭해 해 아 쪽팔려 괜찮아 병 가보자 나 진짜 괜찮아 괜찮아
백호 여자도 때리는 겨? 실망이야 ㅠ #소년시대 #쿠팡플레이	https://www.youtube.com/embed/Oxfct_x_vKo	조회수 1,649,945회	25,717	2023-12-17	내가 여자를 때리는 건 처음이자 마지막일 거여 씨ᄇ 새끼 지영이는 건드리지 말고 그대로 보내 달라고 부탁하는 경태 경태야 니가 왜 여기 온 거냐 선화가 니들 살렸다 고맙다
SNL | 내남편의 후궁 찾기	https://www.youtube.com/embed/n4dMACJGRLo	조회수 2,035,557회	19,296	2023-12-12	주상은 강아지 상보다 고양이 상을 좋아하지 이런 철세 미인을 보았나 동이어 천하 일색이 주상의 취향이다 주상 안 그렇습니까 그렇다고요 안 주상 주상 그렇다고요
대령숙수를 구하러 온 중전 #철인왕후	https://www.youtube.com/embed/VNkLewG8SK0	조회수 564,311회	5,086	2023-12-16	대령숙수 사람들이 붕해 있던 놈 말을 어찌 믿어 대령숙수 돌아가 자 풀어 줘 내가 알아서 푼다 죽을 때가 됐나보다 환청이나 들리고 제사고
감독이 바뀌지 않는 이상 세계관 최강 #카지노 #디즈니플러스	https://www.youtube.com/embed/wyxgrl25BRI	조회수 3,100,928회	23,435	2023-12-10	15년 만에 한국 들어가는데 전부 다 1등석으로 티켓팅 해 놨지만 국가에서 하는 거라서 그렇게 할 수가 없다 되고 안 되고는 내가 결정하는 것이다 형사들 비즈니스 타세요 사우나 하고 나올게 나올게 사우나
야, 우리 집이 적십자냐? #응답하라1988	https://www.youtube.com/embed/xNx7Q-iZ5uk	조회수 1,612,582회	40,185	2023-12-16	아줌마가 갈비찜 했다고 해서 엄마 어디 가셨어 아니요 먹고 싶어서요 아줌마 저도요 갈비찜 아 도롱룡 왜 여기 있냐 학주 아침부터 카레 갈비찜 있다고 했다 했다
헌팅한 여자가 왜 술먹자고 안하냐고 화내!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게 무슨 상황이야ㅋㅋㅋㅋㅋㅋ	https://www.youtube.com/embed/VDOJOoJpwn4	조회수 1,455,927회	5,806	2023-12-13	헌팅은 술 마시려고 하는 거 아닌가요 커피도 한잔 안 마셨는데 바로 마시러 가면 되는 술도 마시고 앉으면 입술 먹고 뭘 먹어요 싸늘한 공기가 되게 좋다 좆될 거 같다 꽃 좋아하시나요 좋아해요
일진 여친 뺏는 임시완(찐따) ㅋㅋ #소년시대	https://www.youtube.com/embed/0RMl9zJBkyM	조회수 2,155,257회	55,673	2023-12-13	시계 문제가 뭔지 모르는 것이 문제이고 선하의 매을 문제이다 시계가 가짜라고 하는 친구들 앞에서 창피했다 창피했다
여자가 진짜 천재인 이유 #shorts #남편 #부부	https://www.youtube.com/embed/_6hzelwaMTE	조회수 909,689회	24,616	2023-12-12	친구가 길아 결혼 축하한다며 부인 엄청난 천재라며 자랑스러운 미소로 말했다 길이는
버텨줘서 고맙네	https://www.youtube.com/embed/B3YG47B30c8	조회수 1,336,105회	15,537	2023-12-12	어려운 환경 속에서도 제할 일 다 하고 공부도 잘하는 똑똑한 딸내미를 제국고 전학 시키면 어떤가 회장님 그저 감사한 뜻으로 드리는 선물이라 생각해 주면 된다 아이들은 꿈을 가져야 한다
하나뿐인 딸의 임신고백에 무너지는 딸바보 아빠	https://www.youtube.com/embed/9EbVodL8FwY	조회수 994,190회	28,246	2023-12-16	현이랑 나랑은 낳기로 했는데 임신이 아닐 수도 있으니 아빠랑 병원 가게 병원도 갔었어 내가 직접 의사 만나보고 신 6개월 넘어서 가도 안 돼 도와줘 애 나 꼭 키우는 거 하지 마 야망은 너 몸 힘든 것도 싫어 애라는 <extra_id_23> <extra_id_24> <extra_id_25> <extra_id_26> <extra_id_27>
보글보글에 빠지기 전의 정봉이 #응답하라1988	https://www.youtube.com/embed/q-1Woi-XDVg	조회수 548,209회	14,746	2023-12-18	태기가 바둑을 잘 두는 이유는 승부역이 어마어마하기 때문이다 우리 동네 승부역 쌍두마차가 있지 김 씨 was 채택 둘에 유명한 일화가 있다 갤러그 대처 정부 형님이 심취하다 시절이 있었다
[자막ver] 공영방송에서 대놓고 욕해버리는 KBS 개그맨  | 개그콘서트 Gagconcert #shorts	https://www.youtube.com/embed/vLlteEUhPEE	조회수 638,545회	15,422	2023-12-16	동영 방송 이상해 하지 말라게 너무 많아 차 떼고 포 어떻게 웃기 한 건지 말을 못하고 선생님 주라고 이것도 사왔는데 방송에서 뭐라 그래요 라테리아 때려야지 때려야 때려 대리기사님을 부르지 않았다 열심히 살았다 살았다고 이상해 때려 때려
병원 식당에서 고아라랑 밥먹는 익준, 새끼들아 밥좀 먹자 #슬기로운의사생활	https://www.youtube.com/embed/W8cjbJyApbU	조회수 532,551회	4,361	2023-12-15	곡식 팬은 이사장에게 실물이 훨씬 예쁘다며 인형이냐고 물었다.
아파트 반상회에 안 나갔던 도민준 신동엽 벌금 대신에 이걸로 #snl코리아	https://www.youtube.com/embed/zCJdsiwUz1Y	조회수 426,400회	2,225	2023-12-16	325만 명이 반상에 안 나와 우가 무슨 남 15초만 내 얘기를 들어봐 소주가 몇 병입 아 이게 뭐야 미쳤 너 내가 왜 이렇게 불공평해 감사하다 다 나가 이런 일 없다고 다 나가 다 나가 <extra_id_23>
그 시절 깡패들도 삥뜯을 때 절대 안건드리던 그 것 #응답하라1988	https://www.youtube.com/embed/yvje5cSwtvA	조회수 713,663회	10,720	2023-12-16	형들 뒤를 쫓아가는데 해볼 만하다 문제는 도료 저 새끼가 한 놈만 커버해주면 오른쪽 왼쪽 바로 쳐야 한다는 것이다 탈탈 털리고 브라질 떡볶이가 먹고 싶은데 돈이 없어서 가봐 260이 야
여자친구 집에 인사가서 확실하게 점수 딸 수 있는 방법 #개미가타고있어요	https://www.youtube.com/embed/c6hXRjyVUt4	조회수 1,693,604회	22,508	2023-12-11	하노이 글스 팬인 전 정 선수를 제일 좋아합니다 MVP 골든 글러브 상은 한 번도 못 받았지만 직구는 최고라고 하지 선수가 했던 말이 내 삶을 지켜준 발판이었다
내 눈엔 제일 이쁜 어릴적 친구 #소년시대 #임시완	https://www.youtube.com/embed/i7XS7ORd8YU	조회수 1,212,660회	11,019	2023-12-11	미연이가 귀하게 컸지만 애 상태가 메롱이야 비하고 최초로 남매를 조진 흑거미가 될테니 덤벼 하늘나라가 궁금한 모양이 거식이 혀 지영이가 아무리 무서운 헛꿈 여도 가려 내눈은 제일로 예뻐 가려 가려 <extra_id_23>
[빵빵이의 일상] 고민해결책	https://www.youtube.com/embed/0Mr5Mb9XeOQ	조회수 3,996,508회	146,021	2023-12-11	옥지 어디야 나 상호 여기 거의 다 이씨 이씨이 어 님 하트 하트
오직 토니만이 100%활용한다는 MK42만의 특별한 힘 #마블 #아이언맨	https://www.youtube.com/embed/6RaBWPm01kE	조회수 2,779,329회	56,297	2023-12-11	토니는 다른 파트들을 기다릴 수 없어 토니가 도착하기 시작하자 그제서야 모두 시작했다.
어리버리 조지는 짱구 #바람	https://www.youtube.com/embed/vUl6a-oci74	조회수 2,696,699회	40,421	2023-12-09	태욱아 태욱이 너 남자가 돼 선생님한테 일러바치고 그럴래 둘 다 서로 건드리지 말고 조용히 지내라 태욱아 일이 커지기 전에 말을 하던가 올라가라 또 찔러라 짱구야 네가 참아 제 새끼 재수 없다 아씨 씨
부모 마음은 찢어지지... #응답하라1988	https://www.youtube.com/embed/UlPDM6WXOlg	조회수 723,393회	15,830	2023-12-17	아르바이트는 한 달은 다녀야 아르바 딱 한달만 하고 그다음부터는 본격적으로 다사이 준비하는 것이다 너 인자부터 딴거 신경 쓰면 안 된다 응 그리고 당분간은 비밀로 해 줘 동생들한테도 다른 사람들한테도 피곤해 아 알았다 알았다 알았다 알았다
가족에게 돌아가면서 폭행당한 여자 #괜찮아사랑이야 #조인성 #공효진	https://www.youtube.com/embed/LOUYt8x9kP8	조회수 2,138,511회	20,818	2023-12-11	트랜스젠더인 나에게 오기 시작한 건 2년 전부터 처에 식구들이 귀신 준다고 패고 안수기도 가서 또 맞고 친척 20명이 돌아가면서 맞았다 미쳤다고 우당 불러 마귀 쉬었다고 했다
유재석에게 반말한 개그맨의 최후 #shorts	https://www.youtube.com/embed/N0d83ZpYKac	조회수 243,920회	2,654	2023-12-17	우리끼 친구지 재석이는 여기 제나 알았으니까 친구가 아니야 영신은 이을게 없나 보다 친구처럼 몰라 미안하다
이혼을 대처하는 자세 #shorts	https://www.youtube.com/embed/p9K-mD5bIio	조회수 752,987회	5,703	2023-12-13	이혼은 둘 중 한 명만 원해도 가능한 것이고 결혼과 달리 앞장 사인하고 뒷장에 사인해 재산 분할 합의서 당신 몫은 당신과 결혼 후 번 돈의 1이야 박민수 나 법 시간 돈 들여서 싸우기 싫어 이혼해 하기 하기 싫어 <extra_id_23> <extra_id_24>
[야인시대 명장면] 전설의 귀환 #야인시대	https://www.youtube.com/embed/o2ii96JXgYU	조회수 218,764회	1,664	2023-12-16	무기 어떤 놈이냐고 너라면 한판 해볼만 하지 무기 용아 그새이 형님 목소리도 잊어버렸다 놈이냐고 무기 어떤 어떤 놈이냐고 무기 <extra_id_17><extra_id_23> <extra_id_24>
참다가 터진 수쌤의 뼈아픈 일침 #정신병동에도아침이와요	https://www.youtube.com/embed/xHUVOQasJJ8	조회수 1,278,947회	38,972	2023-12-12	보호자님이 환자분들이 병원에서 나가면 들어야 되는 얘기들 중 하나는 아픈 사람이 사회생활 한다는 것 자체가 욕심인 거 같다고 했다 한 말 모두 있다
그냥 비행기에 타고 싶었을 뿐인데..	https://www.youtube.com/embed/szSn0oveLZg	조회수 456,876회	4,981	2023-12-15	급한 모습으로 비행기에 타려는 한 남자가 있는데 좌석 등급에 따라 순차적으로 입장하기 시작하자 점점 더 안달이 나는데 이상한 기준이 생기면서 이름을 직접 명하기도 한다.
찐남매	https://www.youtube.com/embed/e3DvZxB-xJY	조회수 896,187회	12,430	2023-12-09	소개팅을 다녀온 여자가 집으로 와서 왜 그러냐고 묻자 마음에 드는 남자를 만났는데 거절당했다고 했다
매력적이고 개성있는 캐릭터, 흡인력 있는 이야기, 좋은 배우들의 명연기, 속이 다 시원한 세금 스릴러 명작 드라마	https://www.youtube.com/embed/qe-IA6gbYvk	조회수 635,648회	3,526	2023-12-17	황 씨는 아버지의 죽음에 책임 있는 임무를 찾기 위해 국세청에 들어가려 한다 자신의 오른팔에 인태 씨를 붙여 달라고 일을 하고 싶어 한다 국세청장이 되고 한다
제시카가 장미꽃이라면 다혜 너는.. #기생충	https://www.youtube.com/embed/7K7bJSbNTn4	조회수 883,212회	14,269	2023-12-15	제시카 선생님 처음 봤는데 되게 이쁘던데 미 미모라고 할 수 있지 장미꽃에 비유를 하자면 불자네 불자네 불자네
노래방 사장님의 직원 채용 현장 (발품이 답이다) #1분영화 #두남자	https://www.youtube.com/embed/TNJwQZNCdwk	조회수 1,624,180회	0	2023-12-11	아저씨랑 같이 돈 벌어 볼래 아저씨가 알바도 시켜주고 숙식 제공도 해 주고 주니까 너 와꾸도 괜찮고 일하면 좋을 것 같다 돈도 벌고 좋다
소지섭 개쩌는 전투씬 ㄷㄷ.. #회사원	https://www.youtube.com/embed/03_lNVu9uHg	조회수 1,297,170회	8,857	2023-12-11	내부 하는게 낫지 않냐고 막힐 거 같아서 그쪽으로 가지네 계약하러 가는데 45구경 챙겼네 네가 나를 해고시킬 수 있을 거 같냐 미녀야 그만하자
비행기에서 술 가져오라는 진상 손님 제압하기 #shorts #웰컴투삼달리 #지창욱 #신혜선	https://www.youtube.com/embed/hPd2lgndP_0	조회수 457,254회	5,548	2023-12-15	항공보안법 위반 행위로 구금 조치하겠습니다 로프 가져와 I 로프 가져와 가져와
전직검사가 감옥에 가면 | 검사외전	https://www.youtube.com/embed/6nInVO_qeww	조회수 1,272,262회	17,139	2023-12-09	부하직원이 제딸을 강했는데 가만히 있겠냐고 해서 조선정 명을 불러 네가 죽이라는 얘기는 하지 않았다고 증언하게 해 위증을 지키란 말이냐 중국 쪽에서 주장하는 내용에 대해선 검찰 애들이 확인할 수 없다 말이냐 위증 <extra_id_23>
≪이재,곧 죽습니다≫타인 몸에 들어가 12번 죽는 저주에 걸린 산전 수전 다 겪은 30대의 영혼이, 지독하게 학폭당하던 찐따 몸에 들어가면 벌어지는 일ㅋㅋ 2억6천만뷰 전설 웹툰	https://www.youtube.com/embed/34ivw5Fh9As	조회수 1,374,456회	14,296	2023-12-15	나는 취업에 실패한 후 취업의 장벽이 높아져 가는 와중에 유일한 희망인 여자친구 지수를 찾아갔는데 그는 자신의 인생을 스스로 살기 위해 발버둥치지 않았다 그의 말을 그대로 읽고 있었다 싫어 죽을 수 밖에 없었다 지옥은 지옥이었다 지옥이었다 <extra_id_23>
할머니 영정사진을 찍지 못한 이유 #shorts #유머짤시리즈	https://www.youtube.com/embed/gZ2NSpbnGjU	조회수 351,988회	17,068	2023-12-18	삼촌이 할머니 영정 사진을 찍으려고 동네 사진관에 전화를 돌렸는데 다섯 군데 넘는 곳에서 거절을 했다고 한다
JYP에게 혼나던 백댄서 시절 비 #정지훈 #jyp #박진영 #시즌비시즌 #rain	https://www.youtube.com/embed/9of2plEi-UQ	조회수 2,294,250회	26,867	2023-12-09	백댄서를 시켰지만 무대경험을 쌓으려고 했고 이제 걸어 나오는 것이다 부드럽게 포인트 드럽게 포인트에 나오는데 갑자기 호지 막 내가 노하고 옆에서 뭐가 노 그래서 욕 한바가지 했다
벤츠주는 남궁민	https://www.youtube.com/embed/KN-5m5jhiZk	조회수 468,316회	2,698	2023-12-15	개처럼 지어 봐 멍 지으면서 개차 줄게 개처럼 지으면서 개처럼 마시면 개차 줄게 한심하다 한심해
[#나혼자산다] 대만 타이중에서의 첫 끼! 100년 넘은 고기 완자 가게에서 무려 11접시 클리어🥟🤤 | #전현무 #박나래 #이장우 #팜유 #대만 MBC231215방송	https://www.youtube.com/embed/8lU4xKTUlqU	조회수 893,706회	6,051	2023-12-17	대만 사람들이 좋아하는 맛은 우리나라 짜장면과 비슷한데 자극적이지 않고 짜장 맛이 난다 나는 짜장면을 좋아해 궁금하다 대만 짜장면이다 맛있다 맛있다 맛있다 맛있다
18시랑 8시랑 헷갈린 정보석 #지붕뚫고하이킥	https://www.youtube.com/embed/bxdORIgTp78	조회수 1,075,042회	16,775	2023-12-10	예약자 명단에 정보석 님은 없는데 없는데 예약했는데 다시 한번 찾아봐 줘 예약했는데 없어요.
"안정환♥︎이혜원 ""셋째 출산 임박?"" #shorts"	https://www.youtube.com/embed/Oxs8x-d0sm4	조회수 1,126,474회	9,972	2023-12-09	잠만 리 처리는 엄마가 해야 되는 것인데 우리 집은 아빠가 하니 내가 다 쳤다 딸한테 딸한테 다 다 쳤다 쳤다 딸한테 딸 아 힘들다 힘들어 힘들어 힘들다 힘들다 힘들다
